Thing{gc=[30.516407367936,52.602450955742], id=0, routeId=5, speed=0.20932718742898232, bearing=78.81714182847598, dist=34.84070312261201, location=RAF Cranwell -> Gomel Airport, timestamp=1493353015, secondsToDept=-1}
Thing{gc=[30.69695497119,52.575495092865], id=0, routeId=5, speed=0.20932718742898232, bearing=78.81714182847598, dist=22.28107187687283, location=RAF Cranwell -> Gomel Airport, timestamp=1493353075, secondsToDept=-1}
Thing{gc=[30.877279581175,52.548264990116], id=0, routeId=5, speed=0.20932718742898232, bearing=78.81714182847598, dist=9.7214406311341, location=RAF Cranwell -> Gomel Airport, timestamp=1493353135, secondsToDept=-1}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353195, secondsToDept=449}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353255, secondsToDept=389}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353315, secondsToDept=329}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353375, secondsToDept=269}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353435, secondsToDept=209}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353495, secondsToDept=149}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353555, secondsToDept=89}
Thing{gc=[31.016700744628906,52.527000427246094], id=0, routeId=5, speed=0.0, bearing=89.23896233263622, dist=14780.839919000236, location=Gomel Airport -> Bubung Airport, timestamp=1493353615, secondsToDept=29}
Thing{gc=[31.12136049128,52.527800061073], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10210.88676860746, location=Gomel Airport -> Bubung Airport, timestamp=1493353675, secondsToDept=-1}
Thing{gc=[31.323937554677,52.529085498986], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10197.182219819655, location=Gomel Airport -> Bubung Airport, timestamp=1493353735, secondsToDept=-1}
Thing{gc=[31.526524881472,52.53002509583], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10183.477671031851, location=Gomel Airport -> Bubung Airport, timestamp=1493353795, secondsToDept=-1}
Thing{gc=[31.729119281554,52.530618825057], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10169.773122244045, location=Gomel Airport -> Bubung Airport, timestamp=1493353855, secondsToDept=-1}
Thing{gc=[31.93171756404,52.530866669895], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10156.068573456241, location=Gomel Airport -> Bubung Airport, timestamp=1493353915, secondsToDept=-1}
Thing{gc=[32.134316537598,52.530768623339], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10142.364024668435, location=Gomel Airport -> Bubung Airport, timestamp=1493353975, secondsToDept=-1}
Thing{gc=[32.336913010823,52.530324688159], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10128.659475880631, location=Gomel Airport -> Bubung Airport, timestamp=1493354035, secondsToDept=-1}
Thing{gc=[32.539503792587,52.5295348769], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10114.954927092826, location=Gomel Airport -> Bubung Airport, timestamp=1493354095, secondsToDept=-1}
Thing{gc=[32.742085692409,52.528399211875], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10101.250378305022, location=Gomel Airport -> Bubung Airport, timestamp=1493354155, secondsToDept=-1}
Thing{gc=[32.944655520811,52.526917725168], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10087.545829517216, location=Gomel Airport -> Bubung Airport, timestamp=1493354215, secondsToDept=-1}
Thing{gc=[33.14721008968,52.525090458624], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10073.841280729412, location=Gomel Airport -> Bubung Airport, timestamp=1493354275, secondsToDept=-1}
Thing{gc=[33.349746212622,52.522917463847], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10060.136731941606, location=Gomel Airport -> Bubung Airport, timestamp=1493354335, secondsToDept=-1}
Thing{gc=[33.552260705331,52.520398802193], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10046.432183153802, location=Gomel Airport -> Bubung Airport, timestamp=1493354395, secondsToDept=-1}
Thing{gc=[33.754750385939,52.517534544759], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10032.727634365996, location=Gomel Airport -> Bubung Airport, timestamp=1493354455, secondsToDept=-1}
Thing{gc=[33.957212075381,52.514324772373], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10019.023085578192, location=Gomel Airport -> Bubung Airport, timestamp=1493354515, secondsToDept=-1}
Thing{gc=[34.159642597746,52.510769575589], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=10005.318536790388, location=Gomel Airport -> Bubung Airport, timestamp=1493354575, secondsToDept=-1}
Thing{gc=[34.362038780636,52.506869054664], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9991.613988002582, location=Gomel Airport -> Bubung Airport, timestamp=1493354635, secondsToDept=-1}
Thing{gc=[34.564397455524,52.502623319555], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9977.909439214778, location=Gomel Airport -> Bubung Airport, timestamp=1493354695, secondsToDept=-1}
Thing{gc=[34.766715458105,52.498032489895], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9964.204890426972, location=Gomel Airport -> Bubung Airport, timestamp=1493354755, secondsToDept=-1}
Thing{gc=[34.96898962865,52.493096694983], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9950.500341639168, location=Gomel Airport -> Bubung Airport, timestamp=1493354815, secondsToDept=-1}
Thing{gc=[35.171216812358,52.487816073763], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9936.795792851362, location=Gomel Airport -> Bubung Airport, timestamp=1493354875, secondsToDept=-1}
Thing{gc=[35.373393859707,52.482190774806], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9923.091244063558, location=Gomel Airport -> Bubung Airport, timestamp=1493354935, secondsToDept=-1}
Thing{gc=[35.575517626802,52.476220956287], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9909.386695275753, location=Gomel Airport -> Bubung Airport, timestamp=1493354995, secondsToDept=-1}
Thing{gc=[35.777584975724,52.469906785968], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9895.682146487949, location=Gomel Airport -> Bubung Airport, timestamp=1493355055, secondsToDept=-1}
Thing{gc=[35.979592774875,52.463248441171], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9881.977597700143, location=Gomel Airport -> Bubung Airport, timestamp=1493355115, secondsToDept=-1}
Thing{gc=[36.181537899322,52.456246108757], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9868.273048912339, location=Gomel Airport -> Bubung Airport, timestamp=1493355175, secondsToDept=-1}
Thing{gc=[36.383417231141,52.448899985096], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9854.568500124533, location=Gomel Airport -> Bubung Airport, timestamp=1493355235, secondsToDept=-1}
Thing{gc=[36.585227659756,52.441210276046], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9840.863951336729, location=Gomel Airport -> Bubung Airport, timestamp=1493355295, secondsToDept=-1}
Thing{gc=[36.786966082275,52.433177196918], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9827.159402548923, location=Gomel Airport -> Bubung Airport, timestamp=1493355355, secondsToDept=-1}
Thing{gc=[36.988629403832,52.424800972456], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9813.454853761119, location=Gomel Airport -> Bubung Airport, timestamp=1493355415, secondsToDept=-1}
Thing{gc=[37.190214537917,52.416081836795], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9799.750304973313, location=Gomel Airport -> Bubung Airport, timestamp=1493355475, secondsToDept=-1}
Thing{gc=[37.391718406709,52.407020033439], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9786.04575618551, location=Gomel Airport -> Bubung Airport, timestamp=1493355535, secondsToDept=-1}
Thing{gc=[37.593137941403,52.397615815224], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9772.341207397703, location=Gomel Airport -> Bubung Airport, timestamp=1493355595, secondsToDept=-1}
Thing{gc=[37.794470082545,52.387869444282], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9758.6366586099, location=Gomel Airport -> Bubung Airport, timestamp=1493355655, secondsToDept=-1}
Thing{gc=[37.995711780345,52.37778119201], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9744.932109822093, location=Gomel Airport -> Bubung Airport, timestamp=1493355715, secondsToDept=-1}
Thing{gc=[38.196859995009,52.367351339029], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9731.22756103429, location=Gomel Airport -> Bubung Airport, timestamp=1493355775, secondsToDept=-1}
Thing{gc=[38.397911697053,52.356580175149], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9717.523012246484, location=Gomel Airport -> Bubung Airport, timestamp=1493355835, secondsToDept=-1}
Thing{gc=[38.59886386762,52.345467999329], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9703.81846345868, location=Gomel Airport -> Bubung Airport, timestamp=1493355895, secondsToDept=-1}
Thing{gc=[38.799713498796,52.334015119638], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9690.113914670874, location=Gomel Airport -> Bubung Airport, timestamp=1493355955, secondsToDept=-1}
Thing{gc=[39.000457593918,52.322221853212], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9676.40936588307, location=Gomel Airport -> Bubung Airport, timestamp=1493356015, secondsToDept=-1}
Thing{gc=[39.201093167883,52.310088526214], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9662.704817095264, location=Gomel Airport -> Bubung Airport, timestamp=1493356075, secondsToDept=-1}
Thing{gc=[39.401617247453,52.297615473787], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9649.00026830746, location=Gomel Airport -> Bubung Airport, timestamp=1493356135, secondsToDept=-1}
Thing{gc=[39.602026871556,52.284803040013], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9635.295719519654, location=Gomel Airport -> Bubung Airport, timestamp=1493356195, secondsToDept=-1}
Thing{gc=[39.802319091583,52.271651577866], id=0, routeId=5, speed=0.22840914646341498, bearing=89.23896233263622, dist=9621.59117073185, location=Gomel Airport -> Bubung Airport, timestamp=1493356255, secondsToDept=-1}
